Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2231.351,1328.179,0,0,
2419.946,1439.253,0,0,
2266.656,1422.974,0,0,
2260.925,1375.935,0,0,
2209.377,1384.074,0,0,
2201.827,1324.844,0,0,
2387.163,1446.195,0,0,
2143.535,1385.216,0,0,
2397.532,1421.191,0,0,
2301.522,1392.643,0,0,
2476.878,1414.001,0,0,
2197.374,1295.691,0,0,
2238.98,1367.107,0,0,
2211.369,1399.239,0,0,
2234.037,1397.348,0,0,
2228.294,1361.788,0,0,
2359.808,1365.586,0,0,
2183.224,1369.647,0,0,
2239.561,1356.551,0,0,
2225.512,1299.297,0,0,
2202.473,1397.633,0,0,
2344.439,1427.568,0,0,
2333.635,1399.469,0,0,
2397.892,1371.898,0,0,
2422.785,1300.179,0,0,
2463.625,1472.065,0,0,
2346.499,1372.494,0,0,
2365.658,1367.151,0,0,
2370.324,1403.143,0,0,
2387.754,1403.839,0,0,
2177.12,1307.947,0,0,
2197.812,1387.797,0,0,
2328.865,1393.439,0,0,
2258.75,1381.355,0,0,
2277.817,1375.557,0,0,
2304.444,1421.32,0,0,
2238.624,1370.555,0,0,
2315.91,1429.826,0,0,
2109.601,1409.271,0,0,
2123.345,1210.374,0,0,
2244.519,1330.635,0,0,
2197.356,1316.471,0,0,
2271.231,1286.642,0,0,
2263.343,1372.953,0,0,
2367.18,1350.515,0,0,
2126.509,1333.614,0,0,
2376.671,1358.402,0,0,
2271.209,1338.501,0,0,
2431.501,1444.964,0,0,
2366.329,1386.407,0,0,
2378.84,1398.858,0,0,
2300.976,1272.32,0,0,
2407.711,1437.203,0,0,
2235.524,1295.271,0,0,
2180.01,1410.744,0,0,
2373.497,1380.488,0,0,
2307.975,1368.116,0,0,
2086.774,1391.79,0,0,
2400.738,1339.12,0,0,
2136.912,1306.327,0,0,
2111.631,1221.735,0,0,
2178.714,1347.412,0,0,
2148.798,1289.988,0,0,
2110.378,1263.899,0,0,
2213.289,1333.226,0,0,
2331.708,1390.124,0,0,
2251.465,1281.393,0,0,
2317.206,1380.476,0,0,
2194.989,1356.609,0,0,
2171.39,1365.968,0,0,
2338.281,1479.808,0,0,
2314.256,1399.282,0,0,
2245.397,1317.5,0,0,
2259.753,1294.881,0,0,
2480.825,1375.272,0,0,
2164.521,1193.334,0,0,
2352.037,1357.008,0,0,
2233.369,1359.728,0,0,
2391.911,1352.154,0,0,
2357.94,1417.595,0,0,
2213.49,1210.173,0,0,
2274.869,1387.043,0,0,
2340.991,1296.648,0,0,
2203.208,1339.363,0,0,
2298.365,1427.915,0,0,
2291.338,1312.38,0,0,
2349.519,1375.832,0,0,
2396.537,1334.206,0,0,
2383.977,1348.818,0,0,
2163.02,1283.532,0,0,
2214.407,1335.732,0,0,
2251.431,1395.362,0,0,
2464.361,1317.946,0,0,
2159.568,1261.076,0,0,
2489.96,1386.048,0,0,
