Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2173.17,1385.44,0,0,
2440.222,6368.899,0,1,
2504.16,1484.11,0,0,
9519.212,6233.224,1,1,
2198.525,1369.136,0,0,
6416.115,1407.004,1,0,
2313.482,6195.121,0,1,
2408.156,6184.839,0,1,
2362.67,6024.272,0,1,
10321.11,1341.51,1,0,
7887.059,6318.181,1,1,
8254.886,5967.299,1,1,
2408.161,6082.482,0,1,
2283.212,1412.716,0,0,
2500.79,6016.89,0,1,
6220.384,6169.955,1,1,
10019.14,1391.074,1,0,
2578.281,6152.122,0,1,
2289.891,6018.91,0,1,
9445.903,6289.942,1,1,
2495.281,1313.11,0,0,
2167.148,1311.702,0,0,
2447.842,6177.052,0,1,
9949.903,1389.941,1,0,
2247.404,6126.724,0,1,
2279.233,6367.686,0,1,
8672.545,6066.795,1,1,
9229.047,1411.721,1,0,
8409.03,1432.671,1,0,
9491.383,1392.6,1,0,
9736.693,1392.827,1,0,
10103.74,1315.45,1,0,
9136.336,1301.757,1,0,
9116.774,6046.029,1,1,
9258.456,1461.982,1,0,
9912.771,1350.831,1,0,
2349.689,6318.055,0,1,
6028.507,1377.646,1,0,
9810.849,1313.869,1,0,
2319.904,6380.36,0,1,
10107.25,1364.18,1,0,
9222.74,5882.612,1,1,
8175.605,5902.461,1,1,
8912.209,5892.436,1,1,
9659.045,6102.241,1,1,
9618.955,6098.23,1,1,
8881.407,6040.747,1,1,
7773.459,1291.278,1,0,
9085.865,5734.987,1,1,
9849.388,1462.176,1,0,
2169.341,6304.533,0,1,
2280.955,1400.147,0,0,
9757.502,1360.6,1,0,
9914.898,5995.729,1,1,
9437.328,1449.361,1,0,
5679.791,5906.537,1,1,
8192.52,6156.632,1,1,
9338.084,5830.664,1,1,
9212.593,5937.021,1,1,
8027.205,1353.892,1,0,
2470.055,6076.515,0,1,
2305.055,1395.594,0,0,
2444.711,1350.405,0,0,
2420.519,6266.236,0,1,
2457.264,1405.788,0,0,
2357.711,6150.086,0,1,
9160.301,1408.145,1,0,
2307.01,6222.854,0,1,
9310.819,1406.504,1,0,
9511.899,6282.77,1,1,
2463.088,6284.882,0,1,
8903.152,5970.433,1,1,
2374.501,6070.604,0,1,
2325.193,1368.867,0,0,
9465.715,1369.412,1,0,
7078.898,6128.476,1,1,
9135.066,6110.541,1,1,
9358.71,6229.633,1,1,
2334.635,1337.272,0,0,
2312.8,6377.317,0,1,
8092.417,1379.004,1,0,
8575.5,6191.324,1,1,
5770.938,1258.656,1,0,
2536.335,6219.399,0,1,
9119.462,6448.513,1,1,
9023.465,6114.159,1,1,
8117.793,5908.857,1,1,
8306.9,6315.61,1,1,
7817.144,1378.18,1,0,
9009.412,6355.233,1,1,
5316.008,5323.905,1,1,
7276.75,5956.859,1,1,
2439.932,5851.184,0,1,
6222.524,6034.668,1,1,
8389.447,5788.446,1,1,
