Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
9547.719,6221.592,1,1,
7377.985,1328.886,1,0,
2215.372,6320.605,0,1,
9455.365,1442.911,1,0,
9544.984,1512.959,1,0,
2243.384,1322.702,0,0,
7936.13,5908.223,1,1,
9770.718,5797.472,1,1,
2202.763,1263.97,0,0,
2220.69,6289.439,0,1,
10015.71,1402.697,1,0,
9186.445,5904.319,1,1,
9447.527,1446.582,1,0,
9415.977,6039.388,1,1,
9733.817,6084.901,1,1,
2135.931,6298.812,0,1,
2069.189,6257.268,0,1,
2159.359,1370.98,0,0,
7493.853,1338.997,1,0,
2310.494,1270.585,0,0,
2346.377,1292.927,0,0,
9742.308,1385.292,1,0,
9661.828,6041.61,1,1,
8586.898,5967.095,1,1,
9261.292,5885.307,1,1,
2234.065,6140.601,0,1,
2205.476,1450.783,0,0,
2208.338,6155.694,0,1,
2247.482,6024.024,0,1,
2335.462,1365.05,0,0,
9280.62,1361.506,1,0,
2294.615,6199.345,0,1,
2324.014,5997.558,0,1,
2228.97,6145.638,0,1,
9218.477,5968.223,1,1,
9181.109,6030.296,1,1,
9601.299,6328.236,1,1,
7743.854,1409.84,1,0,
8339.48,1342.046,1,0,
2206.603,6360.686,0,1,
9728.399,6166.87,1,1,
2238.246,6204.086,0,1,
9416.35,1268.534,1,0,
10199.39,1440.42,1,0,
6825.558,1445.532,1,0,
10372.19,1470.453,1,0,
2143.448,1314.459,0,0,
9198.671,6171.927,1,1,
8199.929,1475.724,1,0,
2148.307,6109.012,0,1,
9061.826,6241.827,1,1,
8942.121,1411.281,1,0,
2207.836,1364.51,0,0,
2075.612,5608.919,0,1,
2244.09,6182.213,0,1,
8681.744,1413.948,1,0,
2448.494,1340.251,0,0,
6555.621,1392.2,1,0,
2096.221,6113.455,0,1,
2160.906,6197.259,0,1,
2061.47,1195.919,0,0,
8395.385,6192.216,1,1,
9386.926,6054.77,1,1,
2358.559,6136.447,0,1,
8899.365,6240.902,1,1,
7530.816,5997.464,1,1,
8947.377,1388.414,1,0,
6918.724,1217.754,1,0,
8258.139,6271.966,1,1,
2046.705,5628.904,0,1,
2056.869,6106.052,0,1,
2176.693,1378.56,0,0,
6984.404,1341.313,1,0,
9732.181,6010.549,1,1,
9953.74,1366.251,1,0,
2418.28,1421.104,0,0,
9457.961,1447.771,1,0,
10039.71,6165.648,1,1,
8795.008,6191.094,1,1,
2370.437,6080.072,0,1,
8763.693,1337.714,1,0,
10013.14,1216.757,1,0,
8271.236,5584.86,1,1,
2220.783,1365.096,0,0,
8301.365,5969.329,1,1,
8654.331,1405.621,1,0,
9522.592,5835.02,1,1,
2260.936,6300.591,0,1,
9037.702,1481.974,1,0,
7585.02,1271.759,1,0,
2021.98,6325.003,0,1,
2077.566,1258.747,0,0,
2071.841,1380.78,0,0,
2480.002,6145.08,0,1,
9716.78,5978.331,1,1,
