HEX,FAM
5737,8697
6234,8697
5837,8697
6353,8697
6480,8698
6579,8698
2989,8698
6529,8698
6300,8699
6494,8699
3076,8700
5662,8700
6500,8700
6429,8700
6326,8700
6301,8701
6259,8701
6011,8701
6635,8701
6180,8702
6401,8703
6231,8703
5848,8703
6035,8703
6485,8703
5839,8704
6145,8704
6336,8704
6356,8704
6171,8705
6247,8705
6646,8705
6677,8705
6434,8705
3193,8706
6447,8706
6031,8706
6279,8706
6667,8707
6130,8708
6614,8709
3296,8709
6215,8710
5559,8710
6262,8710
6209,8710
6074,8711
6534,8711
6212,8711
6195,8711
6703,8712
3162,8712
6970,8712
6219,8712
3106,8712
6536,8712
3241,8713
6090,8713
6069,8714
3332,8714
2993,8714
3102,8714
6094,8714
6300,8715
6691,8715
6214,8715
6825,8716
3353,8717
6340,8717
6195,8717
6013,8718
5902,8718
6714,8718
6150,8718
5910,8718
6258,8719
3453,8719
3363,8720
6394,8721
3157,8721
6487,8721
6352,8721
3164,8722
6480,8722
6009,8723
3137,8723
3221,8724
5831,8725
3090,8725
3482,8725
6250,8725
6120,8725
3136,8726
3396,8726
6353,8727
6519,8727
6151,8728
6129,8728
6215,8730
3437,8732
3338,8732
6409,8733
6459,8733
6266,8734
5871,8735
5965,8735
6507,8735
6548,8736
6149,8736
6401,8737
6374,8737
6037,8737
6524,8737
6415,8738
5573,8738
6691,8738
6416,8738
6433,8738
3039,8739
6306,8739
6401,8739
6780,8739
6385,8740
3420,8740
6171,8740
3518,8741
6318,8741
6100,8742
3713,8742
6326,8742
6162,8742
6567,8742
6195,8743
6244,8743
6701,8743
6558,8744
6551,8744
5774,8744
6089,8744
3530,8745
6494,8745
6453,8745
6112,8745
6620,8746
6182,8746
6499,8746
6262,8747
5742,8747
3003,8747
5882,8747
6767,8747
6170,8748
6314,8749
6066,8749
6104,8749
6543,8749
3205,8750
3141,8750
5759,8750
6172,8750
3291,8750
3332,8750
6513,8751
6245,8751
3479,8751
3137,8751
6184,8752
6743,8752
6617,8752
6255,8752
6389,8752
6490,8753
6004,8753
6400,8753
5868,8753
6210,8754
6411,8754
6045,8754
6386,8754
6717,8755
5723,8755
6033,8756
6831,8756
6227,8757
3344,8757
3416,8757
3348,8758
6373,8759
5836,8759
6131,8759
6558,8759
3729,8759
6258,8759
3023,8760
6655,8760
6250,8761
6080,8761
6235,8761
6694,8761
6377,8761
3353,8763
3005,8763
3093,8763
6653,8763
3134,8764
6051,8764
6329,8764
3366,8764
6093,8764
6436,8764
6063,8765
6441,8766
6241,8767
3337,8767
6770,8767
6195,8768
6776,8768
6067,8769
5664,8770
3607,8770
6577,8770
6570,8770
5990,8771
6265,8771
6175,8771
6647,8771
3076,8772
5788,8772
6154,8773
6501,8773
6071,8773
6535,8774
6257,8774
6437,8774
6409,8774
6106,8774
6323,8774
6381,8774
6326,8775
5490,8775
6078,8775
6277,8776
3216,8776
6691,8776
6489,8776
6694,8776
6436,8777
3264,8777
3141,8777
6005,8777
6903,8777
3510,8778
6243,8778
6476,8778
5840,8778
3137,8779
6494,8779
6411,8779
3255,8780
3333,8780
6246,8780
6214,8781
6285,8781
3472,8782
3434,8782
6395,8783
6507,8783
3013,8784
6082,8784
3307,8785
3186,8785
6682,8785
6390,8785
6497,8785
6517,8786
6103,8786
6663,8787
6564,8787
6116,8788
6001,8788
6252,8788
6223,8788
6122,8788
3353,8788
3510,8789
6429,8789
3306,8789
6351,8789
6251,8790
3500,8791
6305,8791
6076,8791
6475,8791
3207,8791
6680,8791
6097,8792
6400,8792
6118,8793
5980,8793
5874,8793
3295,8793
3320,8794
5917,8794
3033,8794
3029,8794
6699,8795
3161,8795
6237,8795
6456,8795
5766,8795
5960,8795
3395,8796
3286,8796
6344,8796
6292,8796
5516,8796
3259,8797
6818,8797
6110,8797
6374,8798
6049,8798
6646,8799
3402,8799
6419,8799
6758,8800
6324,8800
6428,8800
3384,8800
4975,8801
6400,8801
6744,8801
6560,8802
5782,8802
6316,8802
3416,8802
6787,8803
6398,8803
5207,8804
6188,8804
6348,8805
6722,8805
6073,8805
3232,8805
6365,8805
6169,8805
6408,8806
6778,8806
3477,8807
6125,8809
5890,8809
6370,8810
3137,8810
3037,8810
6519,8810
3037,8810
6784,8810
6343,8811
5986,8811
6379,8813
3338,8813
6782,8814
6021,8815
6036,8815
6045,8816
5544,8816
6005,8816
6186,8817
6106,8817
6535,8817
6417,8817
3146,8818
6098,8818
6218,8819
6082,8819
6328,8819
6485,8819
6523,8820
6386,8821
6289,8821
6582,8822
6052,8822
5450,8822
6259,8822
6322,8823
6325,8823
6496,8824
3189,8824
5931,8824
6738,8825
6246,8825
6644,8825
6325,8825
6521,8825
6114,8826
5976,8826
6218,8826
6258,8826
6232,8827
3283,8827
6098,8827
6286,8828
6420,8828
6362,8829
6471,8829
6255,8829
6477,8829
5916,8830
6282,8830
3172,8830
5806,8830
6081,8830
3502,8830
6530,8831
3164,8831
6663,8831
6223,8831
3286,8832
6335,8833
6226,8833
6466,8833
6709,8834
6076,8834
6651,8834
6425,8836
6248,8836
2902,8836
6023,8836
6506,8837
3379,8837
6399,8837
6009,8837
6554,8837
6397,8838
3152,8839
6622,8839
6571,8840
3233,8841
3337,8841
6526,8841
3096,8841
3211,8842
6501,8842
2998,8843
6079,8843
6419,8843
3112,8843
6441,8843
6520,8843
6339,8844
6650,8844
3277,8845
6137,8845
6115,8845
6182,8845
6805,8846
5998,8846
3268,8847
3242,8847
6132,8847
6147,8847
6479,8848
6700,8848
3154,8848
3276,8848
6418,8849
3030,8849
6519,8850
6257,8850
6305,8850
6075,8851
6419,8851
4232,8852
6751,8852
6516,8853
5894,8853
6723,8854
6625,8854
6312,8854
6413,8854
6094,8855
3154,8855
6698,8855
6650,8856
6045,8856
6355,8856
6454,8857
6449,8857
6187,8857
3089,8857
3306,8857
6291,8858
6522,8858
3092,8858
6059,8858
3036,8858
6742,8859
6129,8859
5741,8859
6327,8860
2983,8860
3116,8861
6469,8861
3340,8861
3548,8861
6567,8861
3016,8862
3404,8862
5610,8863
6017,8864
6181,8865
6411,8865
6148,8866
3313,8867
6067,8867
6579,8867
3186,8868
3173,8868
4005,8868
6506,8868
6322,8868
6168,8868
5943,8868
6216,8869
6503,8869
6236,8869
5950,8870
6777,8870
5987,8870
6586,8871
3292,8871
6227,8872
6176,8872
5806,8872
6487,8873
5655,8873
6442,8873
6365,8873
6647,8873
3364,8874
6248,8874
3406,8874
3084,8874
6371,8875
3291,8875
6720,8876
3148,8876
6393,8876
6910,8876
6482,8877
6232,8877
3479,8878
6418,8878
3205,8878
6240,8878
3167,8879
5875,8880
4630,8880
6196,8880
3074,8880
5813,8880
3096,8881
3338,8882
6438,8883
6616,8883
3099,8884
6199,8884
5919,8884
6030,8884
6608,8885
3507,8886
3138,8886
6543,8886
6148,8886
6032,8887
5995,8887
3210,8888
6539,8888
6076,8889
6580,8889
6019,8889
6499,8889
6353,8890
6751,8890
6566,8891
3456,8891
6292,8892
6186,8892
6020,8892
3090,8892
3733,8893
5927,8893
6415,8893
6329,8893
6057,8894
6373,8895
2917,8895
6029,8895
3270,8896
3196,8897
6282,8898
6552,8898
6867,8898
6319,8899
6345,8899
6595,8899
6396,8899
6163,8900
3263,8900
6182,8901
6393,8901
3423,8902
5834,8902
3198,8902
5989,8902
3126,8903
3093,8903
3422,8903
6361,8903
5364,8904
3177,8904
3485,8904
6105,8904
3263,8905
3502,8905
6165,8905
5912,8906
6631,8906
6406,8908
5985,8908
3054,8909
3179,8909
6372,8909
6240,8911
6539,8911
6022,8911
6279,8912
6325,8912
6287,8913
6361,8913
6335,8914
6125,8915
6578,8915
5945,8915
6558,8915
6126,8916
6309,8917
3468,8917
6438,8917
5915,8917
3233,8918
6326,8918
3207,8918
3087,8919
3255,8919
3082,8919
6029,8919
6294,8919
6388,8919
6101,8920
3328,8921
3201,8922
6375,8922
4391,8922
3359,8922
6434,8922
6500,8923
5361,8923
3033,8923
3310,8923
5775,8923
6376,8923
6527,8923
6550,8923
3006,8924
3311,8924
5904,8924
6543,8925
3308,8925
3309,8925
5791,8925
6490,8926
3130,8926
6464,8926
6565,8927
3320,8927
3330,8927
6396,8927
6536,8928
6343,8928
6178,8929
6634,8929
6553,8929
6178,8930
6202,8930
6531,8930
6102,8932
3356,8932
6681,8933
3154,8934
6440,8935
6023,8935
6365,8937
6248,8937
3217,8937
3107,8938
6505,8938
6697,8938
6269,8939
6546,8939
3509,8940
6575,8940
5954,8940
6635,8941
3132,8942
6144,8942
3296,8942
3412,8942
6074,8943
6232,8944
6387,8944
6476,8944
6634,8945
3390,8945
5606,8945
6715,8945
4158,8945
3015,8946
6426,8947
6759,8947
6229,8947
6255,8948
6060,8948
6461,8948
6258,8948
6800,8949
6249,8950
6299,8950
2955,8950
2952,8951
6697,8951
3071,8952
6464,8952
3175,8952
5964,8952
6538,8953
3266,8953
3183,8953
3308,8953
6531,8955
6944,8955
3218,8955
6213,8955
6549,8957
6173,8958
3281,8958
6619,8958
6186,8958
3478,8959
6376,8959
6229,8959
6045,8960
3146,8960
6520,8960
6486,8961
5846,8961
5997,8962
5999,8962
6797,8962
6771,8962
6552,8962
6362,8963
6281,8964
4393,8964
6627,8965
6536,8965
6406,8967
6411,8967
6343,8969
6533,8970
6825,8971
3638,8971
6842,8971
6751,8971
6750,8972
6448,8973
3206,8974
3251,8975
6697,8975
6319,8976
3217,8976
6429,8976
3177,8977
3256,8978
5940,8980
6247,8980
6048,8980
3209,8981
6437,8981
5943,8981
6490,8981
3115,8982
3256,8982
6308,8982
6682,8983
6387,8984
5982,8985
6400,8985
3227,8985
6468,8985
6399,8985
6190,8985
6257,8985
6715,8986
7091,8986
6022,8987
6599,8987
6109,8987
2891,8988
3155,8989
6498,8990
6395,8990
6264,8991
6236,8992
3388,8992
6687,8993
6195,8993
6027,8994
3503,8994
3300,8995
3342,8996
3180,8996
6406,8996
6531,8998
6182,9000
6175,9001
3498,9002
6320,9004
6359,9004
6409,9005
6303,9005
6272,9005
6462,9006
6369,9006
6319,9008
6441,9008
6096,9008
6657,9008
2972,9008
3244,9010
6550,9011
3167,9011
6487,9011
6385,9011
6898,9011
6514,9012
3187,9012
3027,9012
5714,9012
6063,9014
6326,9014
6382,9015
6187,9016
6058,9018
6678,9018
3274,9018
