Assay1 Amplitude,Assay2 Amplitude,Cluster
494.600433,577.0885,1
495.443573,515.1775,1
645.7002,690.756531,1
860.451843,929.4276,1
868.3786,844.4078,1
907.535,942.6887,1
923.971741,985.662231,1
966.280762,1058.35315,1
979.415,1058.15454,1
1002.17395,1095.70972,1
1065.07251,1455.116,1
1079.04333,1123.49207,1
1091.5636,1427.68152,1
1093.63159,1467.07385,1
1094.51147,1482.03564,1
1096.58228,1271.78223,1
1105.511,1349.16528,1
1107.82324,1419.73022,1
1110.74011,1385.70129,1
1110.92151,1399.47168,1
1112.99792,1378.13428,1
1114.46069,1420.78687,1
1114.40894,1348.1886,1
1116.83887,1421.71326,1
1117.9176,1377.05383,1
1117.58789,1388.91333,1
1117.187,1254.10657,1
1118.83447,1462.92664,1
1118.92664,1356.98376,1
1118.50488,1419.21509,1
1119.518,1506.88782,1
1121.1676,1336.41467,1
1122.00281,1303.92175,1
1123.90637,1315.16846,1
1124.37207,1373.73267,1
1125.72,1438.45422,1
1126.5271,1372.02026,1
1126.96814,1459.40051,1
1126.80847,1369.19189,1
1127.24756,1306.75659,1
1127.79907,1426.69775,1
1127.2572,1436.0199,1
1128.08008,1245.85522,1
1128.22253,1306.88171,1
1129.5675,1456.307,1
1129.12415,1467.18958,1
1129.65173,1401.74866,1
1129.62744,1439.63269,1
1130.75879,1457.24146,1
1130.0835,1286.75244,1
1131.32544,1198.37561,1
1132.66528,1404.2489,1
1132.58008,1367.771,1
1133.69971,1450.85156,1
1134.70227,1411.17383,1
1134.59558,1342.42822,1
1134.77283,1309.05261,1
1135.57471,1369.51855,1
1136.27417,1403.41553,1
1136.735,1319.66089,1
1136.5177,1368.90344,1
1136.43542,1421.202,1
1137.3075,1387.22144,1
1137.277,1334.34717,1
1137.80933,1385.97961,1
1137.01575,1363.15344,1
1137.474,1285.78552,1
1137.89319,1377.13147,1
1138.53955,1316.31055,1
1138.99622,1371.83032,1
1138.56116,1402.9646,1
1138.21521,1448.2655,1
1138.49915,1402.9469,1
1138.11572,1345.65869,1
1138.58276,1314.66138,1
1139.095,1281.58191,1
1139.66772,1493.7428,1
1139.87732,1523.69971,1
1139.86011,1400.41321,1
1139.58752,1315.78552,1
1140.36279,1299.487,1
1140.11157,1351.6,1
1141.55078,1342.63525,1
1141.39783,1354.865,1
1141.92542,1348.79272,1
1141.21912,1350.63342,1
1141.77759,1339.55859,1
1141.98157,1409.94312,1
1141.94824,1355.81067,1
1142.90466,1351.64832,1
1142.70984,1421.94006,1
1142.89038,1371.155,1
1142.13635,1337.30859,1
1142.97681,1457.86145,1
1143.53479,1276.654,1
1143.72412,1367.9425,1
1143.04407,1291.0033,1
1143.3208,1336.44385,1
1143.2854,1357.57629,1
1143.57751,1329.25256,1
1144.98,1413.98193,1
1144.47363,1384.20837,1
1144.645,1351.1145,1
1144.83948,1265.021,1
1144.50891,1306.56885,1
1144.35559,1529.1239,1
1144.5918,1426.41846,1
1145.585,1438.11548,1
1145.02148,1410.44714,1
1145.47412,1366.5061,1
1145.96814,1239.31262,1
1145.64539,1357.78906,1
1145.49121,1314.18372,1
1146.98,1313.44568,1
1146.94617,1365.95569,1
1146.33423,1385.61877,1
1146.63513,1325.12891,1
1146.97058,1357.94275,1
1147.74146,1296.86877,1
1147.40442,1350.5437,1
1147.92883,1353.9397,1
1147.62732,1424.59814,1
1147.20984,1387.735,1
1147.86316,1416.4989,1
1147.53467,1385.62866,1
1147.40356,1303.99316,1
1147.1217,1493.1781,1
1148.25244,1295.652,1
1148.00745,1376.64819,1
1148.224,1345.55835,1
1148.97974,1515.00928,1
1148.60059,1286.24463,1
1148.31677,1464.78381,1
1148.48254,1463.90479,1
1148.1991,1363.31335,1
1148.93408,1316.40173,1
1148.93164,1429.26025,1
1148.38293,1409.24,1
1149.056,1386.031,1
1149.13452,1368.39868,1
1149.63013,1314.72119,1
1149.17249,1361.11011,1
1149.97681,1408.85547,1
1149.50232,1347.72375,1
1149.795,1515.29224,1
1149.487,1445.058,1
1149.06653,1426.96643,1
1149.3822,1360.34045,1
1150.097,1432.751,1
1150.66077,1303.60742,1
1150.45886,1381.68628,1
1150.2323,1445.49133,1
1150.1637,1372.981,1
1150.76514,1387.43274,1
1150.30823,1460.22888,1
1150.26135,1371.211,1
1150.36108,1337.198,1
1150.47241,1256.8136,1
1151.66016,1403.68665,1
1151.19019,1370.90894,1
1151.54126,1347.93042,1
1151.30249,1312.26123,1
1151.48364,1273.80225,1
1151.83093,1378.576,1
1151.24084,1420.60022,1
1151.15759,1333.33472,1
1151.59814,1408.91345,1
1152.46167,1326.9397,1
1152.352,1385.1814,1
