Assay1 Amplitude,Assay2 Amplitude,Cluster
1111.36572,1387.53845,1
1111.99524,1422.81409,1
1111.19849,1305.60388,1
1111.40283,1369.76135,1
1111.07,1342.09583,1
1111.175,1443.207,1
1111.85693,1300.61414,1
1111.48425,1338.42773,1
1111.21545,1298.54785,1
1111.02661,1295.25647,1
1111.50293,1346.96277,1
1111.9187,1294.86145,1
1111.284,1285.309,1
1111.604,1378.12317,1
1112.57581,1409.6842,1
1112.99683,1347.85059,1
1112.613,1329.14929,1
1112.11169,1393.94739,1
1112.50623,1416.28076,1
1112.37439,1477.74744,1
1112.94177,1335.12781,1
1112.54077,1416.05957,1
1112.06421,1335.2478,1
1112.10181,1324.3905,1
1112.44458,1349.27136,1
1113.54126,1270.02563,1
1113.5177,1322.738,1
1113.62854,1234.28638,1
1113.18762,1325.70374,1
1113.65747,1261.977,1
1113.92493,1403.193,1
1113.32446,1300.72913,1
1113.46362,1416.47791,1
1113.49963,1301.51758,1
1113.19031,1354.5752,1
1113.81311,1262.99841,1
1113.90125,1369.49622,1
1113.61621,1440.82617,1
1114.724,1258.07874,1
1114.54248,1404.74243,1
1114.944,1448.81848,1
1114.95483,1457.91382,1
1114.86658,1288.61169,1
1114.3241,1274.14734,1
1114.753,1385.70093,1
1114.53857,1337.07739,1
1114.17969,1251.94751,1
1114.69128,1372.71582,1
1114.94849,1227.83374,1
1114.73022,1378.39453,1
1114.44348,1442.64124,1
1114.95435,1361.18164,1
1114.00366,1359.59692,1
1115.40613,1381.92163,1
1115.282,1400.40137,1
1115.61865,1316.52478,1
1115.82446,1460.54492,1
1115.95337,1364.39856,1
1115.19312,1309.35,1
1115.6,1413.85962,1
1115.344,1397.7605,1
1115.75854,1365.16211,1
1115.882,1229.21606,1
1115.24854,1331.24292,1
1115.38538,1503.73462,1
1115.84863,1426.12451,1
1115.8479,1325.28357,1
1116.15149,1358.54272,1
1116.336,1351.73828,1
1116.90259,1376.39648,1
1116.26147,1328.9043,1
1116.03723,1298.05884,1
1116.343,1308.93066,1
1116.459,1336.26306,1
1116.53088,1224.98132,1
1116.87573,1278.6626,1
1116.75378,1310.18225,1
1116.6897,1337.06262,1
1116.11072,1378.67773,1
1117.41443,1333.15613,1
1117.75854,1324.85962,1
1117.46643,1346.09912,1
1117.02332,1431.88159,1
1117.235,1365.7251,1
1117.32129,1393.60583,1
1117.57117,1312.67871,1
1117.92761,1313.5874,1
1117.19727,1261.54871,1
1117.69666,1329.62463,1
1118.80322,1391.5791,1
1118.26,1426.14172,1
1118.4054,1308.46887,1
1118.105,1242.35291,1
1118.00549,1338.5249,1
1118.8783,1422.13684,1
1118.90381,1434.38184,1
1118.45569,1307.586,1
1118.89124,1306.05591,1
1118.05676,1365.0498,1
1118.62317,1369.33984,1
1118.31311,1371.00269,1
1118.86462,1487.02319,1
1118.64,1402.39807,1
1118.12378,1369.40149,1
1118.16138,1317.6228,1
1119.91675,1354.462,1
1119.62439,1419.25439,1
1119.16736,1403.5509,1
1119.80151,1342.74988,1
1119.8844,1474.59436,1
1119.13062,1407.87061,1
1119.782,1417.31189,1
1119.93958,1442.47607,1
1119.37769,1435.57214,1
1119.72839,1387.85132,1
1119.483,1455.54663,1
1119.57166,1347.90771,1
1119.69067,1368.66638,1
1119.59558,1296.90491,1
1119.73828,1358.01147,1
1119.472,1257.65625,1
1119.44348,1341.44141,1
1120.76318,1360.8429,1
1120.14746,1334.51392,1
1120.26672,1345.43213,1
1120.28845,1300.93762,1
1120.59509,1330.97852,1
1120.37585,1275.56152,1
1120.7959,1347.4314,1
1120.37134,1359.1355,1
1120.47449,1360.098,1
1120.96094,1340.042,1
1120.1781,1413.48987,1
1120.86218,1426.72021,1
1120.09729,1288.21753,1
1120.46924,1286.15173,1
1120.95093,1331.24829,1
1120.299,1343.192,1
1120.874,1414.80127,1
1120.72363,1236.004,1
1120.32434,1350.20569,1
1120.60474,1309.35388,1
1120.06934,1261.11377,1
1120.91492,1481.77722,1
1120.53394,1359.07727,1
1120.65588,1389.3656,1
1120.038,1348.85083,1
1120.68323,1300.39661,1
1120.43933,1268.404,1
1120.18127,1441.866,1
1121.31958,1462.52466,1
1121.35327,1200.20044,1
1121.25134,1402.78491,1
1121.20667,1313.90222,1
1121.636,1270.17627,1
1121.42761,1346.814,1
1121.36536,1367.65784,1
1121.06567,1295.82849,1
1121.66968,1314.36743,1
1121.0824,1342.00281,1
1121.51331,1375.285,1
1121.67017,1308.46069,1
1121.0155,1392.92566,1
1121.73511,1489.67773,1
1121.84851,1298.22693,1
1121.00293,1336.37512,1
1121.37622,1271.82971,1
1121.75647,1280.20911,1
1121.95154,1275.94983,1
1121.20959,1360.38855,1
1121.27637,1483.65625,1
1121.10107,1409.3092,1
1121.88416,1336.88733,1
1121.34351,1318.9231,1
1122.47522,1345.53479,1
1122.09058,1249.696,1
1122.59216,1373.4552,1
1122.6311,1348.4231,1
1122.77124,1321.94238,1
1122.23608,1408.18518,1
1122.662,1332.82629,1
1122.01318,1321.86255,1
1122.45081,1326.89087,1
1122.42883,1392.37354,1
1122.20679,1411.58044,1
1122.40845,1262.78088,1
1122.33289,1387.48438,1
1122.97351,1386.46216,1
1122.4906,1305.93591,1
1122.50049,1359.30615,1
1123.01331,1293.87549,1
1123.91089,1286.51367,1
1123.19238,1290.16345,1
1123.76636,1274.69556,1
1123.4762,1406.13477,1
1123.90112,1339.58313,1
1123.47607,1398.51819,1
1123.79651,1393.71069,1
1123.6604,1464.0835,1
1123.59,1401.3324,1
1123.40491,1375.46863,1
1123.11316,1273.38928,1
1123.40369,1279.8053,1
1123.74341,1359.1637,1
1123.57971,1313.10437,1
1123.60242,1355.782,1
1123.49585,1417.74719,1
1123.89734,1310.56628,1
1123.989,1382.54565,1
1123.34814,1417.8075,1
1123.49,1268.16553,1
1124.03674,1348.01868,1
1124.52576,1315.48291,1
1124.41235,1337.28625,1
1124.43567,1320.30835,1
1124.04224,1396.74048,1
1124.26917,1303.6687,1
1124.11548,1366.535,1
1124.28125,1447.30664,1
1124.68372,1366.62231,1
1124.31775,1293.37549,1
1124.47534,1349.26672,1
1124.128,1438.59119,1
1124.09631,1358.48169,1
1124.90747,1222.32922,1
1124.12073,1424.974,1
1124.75122,1317.78235,1
1124.292,1280.948,1
1124.11157,1305.096,1
1124.77979,1382.89453,1
1124.4646,1320.45959,1
1124.29065,1333.10889,1
1124.535,1392.32263,1
1125.92664,1373.37952,1
1125.809,1421.03613,1
1125.2489,1234.46252,1
1125.36365,1364.25854,1
1125.1709,1368.22632,1
1125.17468,1337.82239,1
1125.397,1362.60669,1
1125.34766,1430.64624,1
1125.73657,1327.25073,1
1125.67065,1341.56116,1
1125.75085,1342.48511,1
1125.75879,1328.67456,1
1126.62109,1340.02283,1
1126.23035,1318.53394,1
1126.31763,1349.57715,1
1126.11938,1444.38086,1
1126.51355,1276.85681,1
1126.4071,1247.1239,1
1126.45837,1283.55151,1
1126.87134,1300.17029,1
1126.81055,1401.955,1
1126.16748,1420.256,1
1126.794,1323.02014,1
1126.36255,1379.5957,1
1126.50525,1391.45349,1
1126.10388,1275.77026,1
1126.05139,1245.57458,1
1126.37109,1314.13428,1
1126.18286,1493.85657,1
1126.143,1348.55725,1
1126.85107,1317.27454,1
1126.54883,1278.37573,1
1126.48523,1331.33813,1
1126.38965,1396.26379,1
1127.587,1417.0415,1
1127.158,1228.1134,1
1127.36926,1382.54858,1
1127.32251,1370.87781,1
1127.06714,1308.605,1
1127.3573,1257.63525,1
1127.85071,1326.65918,1
1127.28162,1336.32874,1
1127.86865,1277.28918,1
1127.94775,1385.09546,1
1127.15393,1361.11035,1
1127.199,1373.99,1
1127.67627,1306.272,1
1127.0752,1361.62854,1
1127.01038,1375.55615,1
1127.25879,1311.14758,1
1127.30664,1363.55237,1
1127.22388,1404.26953,1
1127.88159,1365.19116,1
1127.5697,1308.10632,1
1127.25757,1398.34277,1
1127.4707,1339.86267,1
1127.64465,1335.90723,1
1127.51672,1390.92371,1
1127.00049,1281.18884,1
1127.53418,1363.76831,1
1128.42883,1490.1698,1
1128.43579,1305.20837,1
1128.03625,1437.91711,1
1128.35144,1379.53979,1
1128.01367,1290.81421,1
1128.68481,1365.005,1
1128.87122,1341.48657,1
1128.9696,1379.53137,1
1128.35815,1450.61279,1
1128.269,1292.03711,1
1128.13354,1445.93921,1
1128.78052,1478.59778,1
1128.31226,1386.177,1
1128.39612,1331.98547,1
1128.09229,1339.78979,1
1128.99841,1350.55322,1
1128.00049,1327.079,1
1128.48108,1291.20093,1
1128.14844,1241.415,1
1128.40137,1292.15564,1
1128.29138,1350.6853,1
1128.63464,1290.134,1
1128.48474,1365.97021,1
1128.45154,1329.61023,1
1129.0127,1320.44592,1
1129.45874,1364.87109,1
1129.8158,1363.04065,1
1129.11414,1344.23535,1
1129.28613,1300.08362,1
1129.39624,1324.91931,1
1129.9093,1340.00146,1
1129.88867,1349.9082,1
1129.68762,1352.36426,1
1129.84,1316.85339,1
1129.27979,1383.116,1
1129.97827,1415.90784,1
1129.04333,1301.884,1
1129.8623,1325.13257,1
1129.6792,1317.66187,1
1129.663,1414.65454,1
1129.9176,1377.2002,1
1129.59558,1355.37207,1
1129.21912,1387.24963,1
1130.962,1422.64856,1
1130.91467,1293.51038,1
1130.57813,1363.33582,1
1130.84741,1350.00134,1
1130.75122,1364.33459,1
1130.9707,1356.1582,1
1130.21082,1283.91284,1
1130.56836,1411.03125,1
1130.39368,1255.64709,1
1130.53467,1283.49451,1
1130.75183,1336.47937,1
1130.491,1330.59949,1
1130.2478,1290.52356,1
1130.27844,1444.04041,1
1130.0824,1270.37537,1
1130.08911,1413.12744,1
1130.59509,1366.12781,1
1130.68762,1364.34814,1
1130.91309,1372.7666,1
1130.46545,1306.574,1
1130.37561,1232.84412,1
1130.811,1311.99414,1
1130.53235,1377.3728,1
1130.25452,1205.39709,1
1130.99365,1308.85815,1
1131.925,1266.747,1
1131.64612,1298.28967,1
1131.803,1320.13562,1
1131.31506,1325.05359,1
1131.32617,1240.91919,1
1131.0813,1417.067,1
1131.4491,1401.42358,1
1131.25549,1336.49927,1
