Assay1 Amplitude,Assay2 Amplitude,Cluster
1254.05164,1469.7655,1
1269.66931,1536.32336,1
1274.38611,1554.54712,1
1276.84045,1381.48889,1
1278.57483,1534.62659,1
1279.93433,1430.4447,1
1282.409,1415.45837,1
1285.4137,1506.922,1
1285.41492,1462.629,1
1287.23962,1453.69653,1
1290.32471,1310.97278,1
1292.75684,1435.02612,1
1295.11047,1463.962,1
1296.74231,1460.372,1
1297.50171,1502.34326,1
1298.59729,1551.884,1
1299.5188,1516.24438,1
1300.15393,1406.10876,1
1303.52625,1525.1709,1
1304.65027,1473.7583,1
1305.112,1523.11572,1
1306.77747,1385.53149,1
1306.80212,1416.91272,1
1307.0177,1566.26123,1
1307.16016,1477.34045,1
1308.71411,1465.94678,1
1309.74011,1533.13062,1
1310.6543,1523.14685,1
1311.00745,1598.50476,1
1312.96643,1445.48291,1
1312.56384,1445.86682,1
1313.35034,1525.592,1
1313.26978,1472.66882,1
1314.62317,1543.1438,1
1314.31055,1578.83728,1
1315.97644,1385.52551,1
1315.16467,1447.11768,1
1315.21472,1456.46069,1
1316.55652,1479.56213,1
1316.00732,1453.97852,1
1317.7124,1460.874,1
1317.66968,1483.27527,1
1318.17859,1460.57825,1
1319.52258,1497.14893,1
1321.75256,1476.40771,1
1321.59277,1474.59509,1
1322.637,1504.30469,1
1322.83667,1459.83179,1
1322.47229,1559.839,1
1322.21436,1451.693,1
1322.04626,1415.59619,1
1323.80652,1467.135,1
1323.22717,1318.32361,1
1323.67566,1557.64221,1
1323.57983,1433.44263,1
1323.98132,1488.92419,1
1323.03833,1471.99915,1
1324.123,1544.32922,1
1325.67407,1479.58313,1
1325.97791,1514.2146,1
1325.7168,1501.94446,1
1325.78857,1535.604,1
1326.4541,1492.61023,1
1326.0896,1414.5625,1
1326.63281,1576.63684,1
1326.63586,1426.83533,1
1326.20459,1473.96655,1
1327.09937,1478.47424,1
1327.07422,1497.92944,1
1327.74646,1485.13342,1
1327.13171,1522.22888,1
1328.87622,1436.653,1
1328.02026,1489.072,1
1328.36609,1454.2793,1
1328.29333,1578.24683,1
1328.90918,1392.90808,1
1328.331,1526.0343,1
1329.6792,1395.58728,1
1329.43872,1505.179,1
1329.253,1562.54309,1
1329.14917,1488.42468,1
1329.55225,1513.24609,1
1329.05859,1391.75452,1
1330.82751,1516.95874,1
1330.51868,1514.10876,1
1330.20935,1407.77734,1
1330.71375,1461.08691,1
1330.74158,1491.61426,1
1330.17371,1500.03687,1
1330.78979,1512.59058,1
1331.21643,1492.34875,1
1331.59753,1471.33276,1
1331.57043,1389.06384,1
1331.79224,1524.3158,1
1332.9967,1451.91016,1
1332.54932,1439.9856,1
1332.97314,1460.83765,1
1332.03784,1515.52344,1
1332.27234,1442.33362,1
1333.08765,1391.99927,1
1333.4751,1452.56555,1
1333.78125,1408.79224,1
1333.04492,1403.6543,1
1333.84277,1479.88135,1
1333.74414,1562.55884,1
1334.26709,1499.62207,1
1334.99744,1406.07007,1
1334.30554,1482.95557,1
1334.64636,1339.1637,1
1335.74731,1501.35974,1
1335.34216,1470.32141,1
1335.77417,1496.99219,1
1335.515,1422.81738,1
1335.387,1511.67761,1
1335.8324,1478.2345,1
1335.54749,1501.86511,1
1335.82666,1392.62891,1
1335.79626,1481.30212,1
1335.88354,1440.70874,1
1336.33374,1406.32947,1
1336.38684,1554.05176,1
1336.17566,1535.81226,1
1336.464,1530.91321,1
1336.59619,1597.34521,1
1337.74817,1466.09668,1
1337.33081,1444.10962,1
1337.21008,1375.39526,1
1337.48181,1496.8446,1
1337.62451,1563.925,1
1337.4873,1471.82373,1
1338.41968,1550.71179,1
1338.65857,1515.73083,1
1338.27466,1450.89,1
1338.51843,1597.30334,1
1338.70813,1468.515,1
1338.237,1492.72876,1
1338.08923,1429.89282,1
1339.75378,1627.65186,1
1339.88,1538.30774,1
1339.00708,1443.58545,1
1339.1543,1527.72314,1
1339.15344,1455.47449,1
1339.72949,1439.95947,1
1339.81873,1520.43567,1
1339.4458,1437.85986,1
1339.883,1486.14368,1
1339.82007,1489.17786,1
1339.88428,1526.42664,1
1340.47791,1501.38281,1
1340.99036,1444.86389,1
1340.77625,1424.86768,1
1340.17688,1507.76465,1
1340.80664,1495.21887,1
1340.2926,1387.07288,1
1340.33179,1437.83215,1
1340.84631,1442.70776,1
1340.19153,1433.38843,1
1341.98425,1509.52087,1
1341.88464,1550.8291,1
1341.27832,1420.49829,1
1341.86633,1506.24817,1
1341.15747,1475.495,1
1341.60925,1386.61377,1
1341.10986,1510,1
1342.20911,1512.31909,1
1343.05176,1543.46643,1
1343.36157,1405.08508,1
1343.75134,1446.653,1
1343.70276,1486.3501,1
1343.48267,1462.35645,1
1343.69263,1352.335,1
1343.22607,1481.75684,1
1343.7655,1457.80286,1
1343.12146,1410.179,1
1343.49829,1519.6272,1
1343.585,1526.38477,1
1343.14758,1438.0033,1
1344.49438,1514.15112,1
1344.435,1513.504,1
1344.15808,1489.03162,1
1344.86414,1517.30688,1
1344.60693,1480.43726,1
1344.17249,1524.33826,1
1344.07751,1356.08008,1
1344.03833,1373.18237,1
1344.02563,1466.63562,1
1344.22168,1472.90466,1
1344.384,1426.26489,1
1344.64624,1392.5658,1
1345.75464,1477.70447,1
1345.615,1313.87891,1
1345.80688,1495.941,1
1345.95459,1457.9884,1
1345.346,1451.1532,1
1345.40186,1453.98059,1
1345.80627,1403.87659,1
1345.15442,1468.19006,1
1345.18738,1495.20093,1
1346.946,1433.6427,1
1346.74536,1372.05066,1
1346.281,1466.38416,1
1346.63855,1485.599,1
1346.58826,1383.89478,1
1346.39417,1418.87134,1
1346.82031,1444.12427,1
1346.43762,1489.28564,1
1346.00415,1478.10266,1
1346.81152,1493.44238,1
1346.50232,1607.91431,1
1346.62451,1555.67847,1
1346.08691,1516.33582,1
1346.4718,1413.15857,1
1346.55444,1422.30237,1
1346.73254,1433.65662,1
1346.90771,1435.531,1
1346.551,1431.14014,1
1346.21094,1450.06482,1
1346.207,1548.49548,1
1346.1825,1448.268,1
1346.93481,1501.72168,1
1347.76282,1527.98572,1
1347.103,1596.27454,1
1347.88757,1472.43787,1
1347.68884,1514.05115,1
1347.389,1454.59619,1
1347.061,1424.56128,1
1347.81458,1559.704,1
1347.86267,1447.33167,1
1347.74316,1510.46985,1
1347.421,1618.65173,1
1347.79871,1566.96289,1
1347.01428,1404.1842,1
1347.50525,1466.47083,1
1348.748,1472.44128,1
1348.62439,1385.29285,1
1348.09656,1532.34448,1
1348.66418,1486.1936,1
1348.27,1425.6416,1
1348.89807,1458.60608,1
1348.58459,1491.24768,1
1348.737,1358.48523,1
1348.40613,1491.605,1
1348.87061,1455.00708,1
1348.766,1468.01953,1
1348.79773,1535.3844,1
1348.06665,1429.5199,1
1348.257,1551.75427,1
1348.1377,1415.94434,1
1348.25073,1453.69507,1
1348.59,1509.18774,1
1348.43359,1561.408,1
1349.37317,1409.3479,1
1349.3833,1412.15759,1
1349.93286,1447.89575,1
1349.67859,1465.21667,1
1349.7605,1391.786,1
1349.87659,1480.94812,1
1349.06836,1449.30371,1
1349.084,1374.16077,1
1349.02637,1545.91113,1
1349.00537,1497.02649,1
1349.968,1557.5166,1
1349.74756,1509.56641,1
1349.559,1483.27539,1
1349.3656,1512.52429,1
1350.229,1471.13,1
1350.90356,1466.12964,1
1350.5293,1567.53918,1
1350.931,1507.49207,1
1350.8291,1437.76062,1
1350.73828,1514.95471,1
1350.69739,1550.63733,1
1350.12378,1455.8877,1
1350.35388,1352.86816,1
1350.4447,1517.767,1
1350.34753,1553.787,1
1350.48914,1453.62866,1
1350.98523,1544.40479,1
1351.80664,1418.68909,1
1351.562,1454.26819,1
1351.96375,1606.24792,1
1351.53052,1558.54211,1
1351.614,1510.37378,1
1351.21692,1548.53687,1
1351.85364,1475.9281,1
1351.35522,1537.18359,1
1351.949,1508.16235,1
1351.74036,1426.30835,1
1351.32507,1461.2677,1
1351.4519,1479.37915,1
1352.104,1446.85779,1
1352.34766,1431.05762,1
1352.83228,1355.66345,1
1352.37,1579.12329,1
1352.96777,1518.56042,1
1352.47522,1505.86621,1
1352.16284,1472.5824,1
1352.45728,1386.65417,1
1352.01416,1435.89307,1
1352.49646,1350.55786,1
1352.25037,1508.61133,1
1352.87256,1430.46729,1
1353.79871,1432.28027,1
1353.13953,1468.56836,1
1353.669,1453.76257,1
1353.93494,1439.932,1
1353.57043,1354.76038,1
1353.59753,1534.37659,1
1353.20654,1500.044,1
1353.89832,1507.008,1
1353.97229,1517.90576,1
1353.83252,1464.44775,1
1353.78613,1500.41284,1
1353.20691,1425.261,1
1353.67175,1444.50647,1
1353.81714,1545.77759,1
1353.742,1485.9519,1
1354.02954,1507.28308,1
1354.091,1460.17517,1
